ticker,name,exchange,sector,industry,price,price_tv,price_finviz,market_cap,avg_volume,sma50,sma150,sma200,ema21,ema50,rsi14,atr14,atr_pct,rvol20,performance_21d_pct,move_10d_pct,consolidating,week52_high,distance_52w_high_pct,resistance,distance_resistance_pct,structural_trend_pass,technical_score,score_breakdown,pattern,pattern_quality,revenue_growth_yoy,previous_revenue_growth_yoy,eps_growth_yoy,eps_next_year,gross_margin,operating_margin,free_cash_flow,free_cash_flow_negative,shares_change_6m_pct,dilution_check,requires_external_dilution_check,outstanding_shares,earnings_date,last_earnings_date,next_earnings_date,days_to_earnings,days_since_earnings,pead_flag,earnings_state,market_regime,hard_filter_pass,failed_gates,unverifiable_gates,missing_fields,quantitative_pass,manual_review_required,final_setup_ready,unverified_final_checks,validation_level,validation_level_label,externally_verified
ASML,ASML Holding NV,NASDAQ,Technology,Semiconductor Equipment & Materials,1883.12,1883.12,1883.12,725790000000.0,1910000.0,1778.2166,1551.4669333333334,1432.5487249999999,1762.07106936401,1730.2034403969317,62.34361355385123,71.50390862319999,3.7970978282424914,0.8056247066073438,7.755868114764408,14.648223461510357,False,1999.96,5.8421168423368535,1999.96,6.204596626874557,True,57.0,"{'rvol20': {'value': 0.8056247066073438, 'points': 0.0, 'band': 'neutro'}, 'distance_resistance_pct': {'value': 6.204596626874557, 'points': -3.0, 'band': 'spazio ridotto'}, 'performance_21d_pct': {'value': 7.755868114764408, 'points': 10.0, 'band': 'momentum sano'}}",,"{'status': 'PASS', 'score': 100.0, 'base_days': 33, 'base_depth_pct': 23.47, 'atr_contraction': 0.704, 'tight_closes': 1.252, 'volume_contraction': 0.692, 'pivot': 1999.96, 'distance_to_pivot_pct': 6.2, 'above_ema21': True, 'above_ema50': True, 'reasons': ['durata base 33 sedute nel range', ""profondita' base 23.5% entro 25.0%"", 'ATR in contrazione (0.70)', 'chiusure compresse (1.25%/g)', 'volume in contrazione (0.69)', 'distanza dal pivot 6.2% nel range', 'prezzo sopra EMA21 ed EMA50'], 'informational_only': True}",24.38,,31.869999999999997,37.89,52.73,35.42,11326310861.423222,False,,"{'local_status': 'NOT_VERIFIABLE', 'external_verification_required': True, 'externally_verified': False, 'external_status': None, 'unverifiable_subchecks': ['shares_change_check', 'atm_check', 'convertibles_warrants_check'], 'shares_change_6m_pct': None, 'classification': None, 'measurement_confidence': 'NOT_VERIFIABLE', 'subchecks': {'shares_change_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'osservazione corrente vecchia di 229 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'buyback_check': {'status': 'PASS', 'value': True, 'reason': 'riacquisti per 5,950,000,000 EUR (al 2025-12-31)'}, 'recent_equity_offering_check': {'status': 'PASS', 'value': False, 'reason': 'nessun prospetto di offerta prezzata negli ultimi ~6 mesi'}, 'shelf_check': {'status': 'PASS', 'value': False, 'reason': 'nessuna shelf registration negli ultimi ~6 mesi'}, 'atm_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'un programma ATM si desume solo dal testo dei prospetti: non determinabile da dati strutturati XBRL'}, 'convertibles_warrants_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'tag XBRL su convertibili e warrant assenti per la maggior parte degli emittenti: non determinabile in modo oggettivo'}}, 'recent_equity_offering': False, 'active_atm': None, 'shelf_registration': False, 'convertibles_or_warrants': None, 'buyback': True, 'buyback_detail': {'value': 5950000000, 'unit': 'EUR', 'date': '2025-12-31', 'form': '20-F', 'filed': '2026-02-25'}, 'share_based_compensation': {'value': 202300000, 'unit': 'EUR', 'date': '2025-12-31', 'form': '20-F', 'filed': '2026-02-25'}, 'shares_detail': {'shares_current': 385417665.0, 'shares_current_date': '2025-12-31', 'shares_current_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'shares_reference': 393283720.0, 'shares_reference_date': '2024-12-31', 'shares_reference_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'current_age_days': 229, 'observation_interval_days': 365, 'target_interval_days': 180, 'interval_deviation_days': 185, 'tolerance_days': 45, 'current_is_fresh': False, 'interval_is_accepted': False, 'shares_change_6m_pct': None, 'lower_confidence': True, 'cik': '0000937966', 'reason': 'osservazione corrente vecchia di 229 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'sources': [{'type': 'SEC', 'form': '6-K', 'filing_date': '2026-07-15', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026048235/0001628280-26-048235-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-04-23', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026026703/0001628280-26-026703-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-04-15', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026025147/0001628280-26-025147-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-03-11', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026016671/0001628280-26-016671-index.htm'}, {'type': 'SEC', 'form': '20-F', 'filing_date': '2026-02-25', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/0001628280-26-011378-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-02-25', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026011377/0001628280-26-011377-index.htm'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2025-12-31', 'role': 'shares_current', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000937966&type=&dateb=&owner=include&count=40'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2024-12-31', 'role': 'shares_reference', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000937966&type=&dateb=&owner=include&count=40'}], 'reason': ""non verificabili localmente: shares_change_check, atm_check, convertibles_warrants_check. Richiede revisione esterna (SEC EDGAR + Investor Relations): NON e' una bocciatura"", 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,385420000.0,2026-07-15,2026-07-15,,,33,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
INCY,Incyte Corp,NASDAQ,Healthcare,Biotechnology,123.5,123.5,123.5,25030000000.0,1850000.0,114.29260000000001,103.49486666666667,103.0054,119.70136482430725,114.74968267121116,60.41187928149056,3.7574653539355696,3.042482067964024,1.112182717991217,5.330490405117261,4.281009879253572,False,132.6,6.862745098039212,132.6,7.368421052631574,True,57.0,"{'rvol20': {'value': 1.112182717991217, 'points': 0.0, 'band': 'neutro'}, 'distance_resistance_pct': {'value': 7.368421052631574, 'points': -3.0, 'band': 'spazio ridotto'}, 'performance_21d_pct': {'value': 5.330490405117261, 'points': 10.0, 'band': 'momentum sano'}}",,"{'status': 'PASS', 'score': 100.0, 'base_days': 14, 'base_depth_pct': 12.69, 'atr_contraction': 0.718, 'tight_closes': 0.883, 'volume_contraction': 0.586, 'pivot': 132.6, 'distance_to_pivot_pct': 7.37, 'above_ema21': True, 'above_ema50': True, 'reasons': ['durata base 14 sedute nel range', ""profondita' base 12.7% entro 25.0%"", 'ATR in contrazione (0.72)', 'chiusure compresse (0.88%/g)', 'volume in contrazione (0.59)', 'distanza dal pivot 7.4% nel range', 'prezzo sopra EMA21 ed EMA50'], 'informational_only': True}",37.72,,38.019999999999996,121.27,91.42,31.61,1920951650.038373,False,,"{'local_status': 'NOT_VERIFIABLE', 'external_verification_required': True, 'externally_verified': False, 'external_status': None, 'unverifiable_subchecks': ['shares_change_check', 'atm_check', 'convertibles_warrants_check'], 'shares_change_6m_pct': None, 'classification': None, 'measurement_confidence': 'NOT_VERIFIABLE', 'subchecks': {'shares_change_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'storico proprietario: intervallo fra le osservazioni 7 gg, scarto 173 oltre la tolleranza 45', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'buyback_check': {'status': 'PASS', 'value': False, 'reason': 'riacquisti per 0 USD (al 2025-12-31)'}, 'recent_equity_offering_check': {'status': 'PASS', 'value': False, 'reason': 'nessun prospetto di offerta prezzata negli ultimi ~6 mesi'}, 'shelf_check': {'status': 'PASS', 'value': False, 'reason': 'nessuna shelf registration negli ultimi ~6 mesi'}, 'atm_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'un programma ATM si desume solo dal testo dei prospetti: non determinabile da dati strutturati XBRL'}, 'convertibles_warrants_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'tag XBRL su convertibili e warrant assenti per la maggior parte degli emittenti: non determinabile in modo oggettivo'}}, 'recent_equity_offering': False, 'active_atm': None, 'shelf_registration': False, 'convertibles_or_warrants': None, 'buyback': False, 'buyback_detail': {'value': 0, 'unit': 'USD', 'date': '2025-12-31', 'form': '10-K', 'filed': '2026-02-10'}, 'share_based_compensation': None, 'shares_detail': {'shares_current': None, 'shares_current_date': None, 'shares_current_source': None, 'shares_reference': None, 'shares_reference_date': None, 'shares_reference_source': None, 'current_age_days': None, 'observation_interval_days': None, 'target_interval_days': 180, 'interval_deviation_days': None, 'tolerance_days': 45, 'current_is_fresh': None, 'interval_is_accepted': None, 'shares_change_6m_pct': None, 'lower_confidence': None, 'cik': '0000879169', 'reason': 'storico proprietario: intervallo fra le osservazioni 7 gg, scarto 173 oltre la tolleranza 45', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'sources': [{'type': 'SEC', 'form': '10-Q', 'filing_date': '2026-07-28', 'url': 'https://www.sec.gov/Archives/edgar/data/879169/000087916926000056/0000879169-26-000056-index.htm'}, {'type': 'SEC', 'form': '10-Q', 'filing_date': '2026-04-28', 'url': 'https://www.sec.gov/Archives/edgar/data/879169/000087916926000026/0000879169-26-000026-index.htm'}, {'type': 'SEC', 'form': '10-K', 'filing_date': '2026-02-10', 'url': 'https://www.sec.gov/Archives/edgar/data/879169/000087916926000010/0000879169-26-000010-index.htm'}], 'reason': ""non verificabili localmente: shares_change_check, atm_check, convertibles_warrants_check. Richiede revisione esterna (SEC EDGAR + Investor Relations): NON e' una bocciatura"", 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,200980000.0,2026-07-28,2026-07-28,,,20,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
TSEM,Tower Semiconductor Ltd,NASDAQ,Technology,Semiconductors,263.73,263.73,263.73,29760000000.0,2000000.0,244.484,200.518,177.36935000000003,243.11356917032143,239.70899865795673,57.09916052314117,22.46587452322722,8.518513071409101,0.5982367711838313,12.656984194788556,12.55121201775351,False,319.94,17.568919172344806,319.94,21.313464528115865,True,50.0,"{'rvol20': {'value': 0.5982367711838313, 'points': -20.0, 'band': ""penalita' forte""}, 'distance_resistance_pct': {'value': 21.313464528115865, 'points': 10.0, 'band': 'ampio spazio'}, 'performance_21d_pct': {'value': 12.656984194788556, 'points': 10.0, 'band': 'momentum sano'}}",,"{'status': 'FAIL', 'score': 55.0, 'base_days': 39, 'base_depth_pct': 42.15, 'atr_contraction': 0.952, 'tight_closes': 3.185, 'volume_contraction': 0.703, 'pivot': 319.94, 'distance_to_pivot_pct': 21.31, 'above_ema21': True, 'above_ema50': True, 'reasons': ['durata base 39 sedute nel range', ""profondita' base 42.2% oltre 25.0%"", 'ATR in contrazione (0.95)', 'chiusure volatili (3.18%/g)', 'volume in contrazione (0.70)', 'distanza dal pivot 21.3% fuori range', 'prezzo sopra EMA21 ed EMA50'], 'informational_only': True}",23.66,,93.04,72.13,26.87,16.16,306551297.8986403,False,,"{'local_status': 'NOT_VERIFIABLE', 'external_verification_required': True, 'externally_verified': False, 'external_status': None, 'unverifiable_subchecks': ['shares_change_check', 'atm_check', 'convertibles_warrants_check'], 'shares_change_6m_pct': None, 'classification': None, 'measurement_confidence': 'NOT_VERIFIABLE', 'subchecks': {'shares_change_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'osservazione corrente vecchia di 229 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'buyback_check': {'status': 'PASS', 'value': False, 'reason': 'nessun riacquisto riportato'}, 'recent_equity_offering_check': {'status': 'PASS', 'value': False, 'reason': 'nessun prospetto di offerta prezzata negli ultimi ~6 mesi'}, 'shelf_check': {'status': 'PASS', 'value': False, 'reason': 'nessuna shelf registration negli ultimi ~6 mesi'}, 'atm_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'un programma ATM si desume solo dal testo dei prospetti: non determinabile da dati strutturati XBRL'}, 'convertibles_warrants_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'tag XBRL su convertibili e warrant assenti per la maggior parte degli emittenti: non determinabile in modo oggettivo'}}, 'recent_equity_offering': False, 'active_atm': None, 'shelf_registration': False, 'convertibles_or_warrants': None, 'buyback': False, 'buyback_detail': None, 'share_based_compensation': {'value': 5737000, 'unit': 'USD', 'date': '2012-12-31', 'form': '6-K', 'filed': '2013-02-22'}, 'shares_detail': {'shares_current': 112534404.0, 'shares_current_date': '2025-12-31', 'shares_current_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'shares_reference': 111550761.0, 'shares_reference_date': '2024-12-31', 'shares_reference_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'current_age_days': 229, 'observation_interval_days': 365, 'target_interval_days': 180, 'interval_deviation_days': 185, 'tolerance_days': 45, 'current_is_fresh': False, 'interval_is_accepted': False, 'shares_change_6m_pct': None, 'lower_confidence': True, 'cik': '0000928876', 'reason': 'osservazione corrente vecchia di 229 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'sources': [{'type': 'SEC', 'form': '6-K', 'filing_date': '2026-08-17', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326004158/0001178913-26-004158-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-08-12', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326004045/0001178913-26-004045-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-08-11', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326004009/0001178913-26-004009-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-08-04', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003776/0001178913-26-003776-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-07-14', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003477/0001178913-26-003477-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-07-07', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003423/0001178913-26-003423-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-07-06', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003419/0001178913-26-003419-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-06-22', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003288/0001178913-26-003288-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-06-18', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003242/0001178913-26-003242-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-06-15', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003180/0001178913-26-003180-index.htm'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2025-12-31', 'role': 'shares_current', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000928876&type=&dateb=&owner=include&count=40'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2024-12-31', 'role': 'shares_reference', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000928876&type=&dateb=&owner=include&count=40'}], 'reason': ""non verificabili localmente: shares_change_check, atm_check, convertibles_warrants_check. Richiede revisione esterna (SEC EDGAR + Investor Relations): NON e' una bocciatura"", 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,111760000.0,2026-08-04,2026-08-04,,,13,post_earnings,PEAD_WINDOW,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
