ticker,name,exclusion_stage,failed_gates,unverifiable_gates,gates_evaluated,technical_gates_evaluated,values,missing_fields,source,retrieved_at,earnings_date,days_to_earnings,days_since_earnings,earnings_state,gate_distance
ABVX,Abivax ADR,finviz_prefilter,adr,,,False,"{'industry': 'Biotechnology', 'price_finviz': 113.35}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
APGE,Apogee Therapeutics Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 134.97}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
ARM,Arm Holdings Plc ADR,finviz_prefilter,adr,,,False,"{'industry': 'Semiconductors', 'price_finviz': 239.05}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
ATAT,Atour Lifestyle Holdings Ltd ADR,finviz_prefilter,adr,,,False,"{'industry': 'Lodging', 'price_finviz': 35.5}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
BIDU,Baidu Inc ADR,finviz_prefilter,adr,,,False,"{'industry': 'Internet Content & Information', 'price_finviz': 97.12}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
BILI,Bilibili Inc ADR,finviz_prefilter,adr,,,False,"{'industry': 'Internet Content & Information', 'price_finviz': 16.6}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
BNTX,BioNTech SE ADR,finviz_prefilter,adr,,,False,"{'industry': 'Biotechnology', 'price_finviz': 102.07}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
BZ,Kanzhun Ltd ADR,finviz_prefilter,adr,,,False,"{'industry': 'Internet Content & Information', 'price_finviz': 17.8}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
CELC,Celcuity Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 88.44}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
COGT,Cogent Biosciences Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 34.67}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
DFTX,Definium Therapeutics Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 40.98}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
DYN,Dyne Therapeutics Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 25.07}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
ELVN,Enliven Therapeutics Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 57.86}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
ERAS,Erasca Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 18.03}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
EWTX,Edgewise Therapeutics Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 42.76}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
FUTU,Futu Holdings Ltd ADR,finviz_prefilter,adr,,,False,"{'industry': 'Capital Markets', 'price_finviz': 124.26}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
GDS,GDS Holdings Limited ADR,finviz_prefilter,adr,,,False,"{'industry': 'Information Technology Services', 'price_finviz': 33.41}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
GGAL,Grupo Financiero Galicia ADR,finviz_prefilter,adr,,,False,"{'industry': 'Banks - Regional', 'price_finviz': 42.24}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
GMAB,Genmab ADR,finviz_prefilter,adr,,,False,"{'industry': 'Biotechnology', 'price_finviz': 33.23}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
HSAI,Hesai Group ADR,finviz_prefilter,adr,,,False,"{'industry': 'Auto Parts', 'price_finviz': 17.42}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
HTHT,H World Group Limited ADR,finviz_prefilter,adr,,,False,"{'industry': 'Lodging', 'price_finviz': 47.82}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
IMVT,Immunovant Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 41.2}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
JD,JD.com Inc ADR,finviz_prefilter,adr,,,False,"{'industry': 'Internet Retail', 'price_finviz': 28.74}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
LEGN,Legend Biotech Corp ADR,finviz_prefilter,adr,,,False,"{'industry': 'Biotechnology', 'price_finviz': 19.88}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
MBX,MBX Biosciences Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 63.0}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
MLYS,Mineralys Therapeutics Inc,finviz_prefilter,biotech_pre_revenue,,,False,"{'industry': 'Biotechnology', 'price_finviz': 25.6}",,Finviz via finvizfinance screener views,2026-08-28T23:30:27+02:00,,,,,
