ticker,name,exchange,sector,industry,price,price_tv,price_finviz,market_cap,avg_volume,sma50,sma150,sma200,ema21,ema50,rsi14,atr14,atr_pct,rvol20,performance_21d_pct,move_10d_pct,consolidating,week52_high,distance_52w_high_pct,resistance,distance_resistance_pct,structural_trend_pass,technical_score,score_breakdown,pattern,pattern_quality,revenue_growth_yoy,previous_revenue_growth_yoy,eps_growth_yoy,eps_next_year,gross_margin,operating_margin,free_cash_flow,free_cash_flow_negative,shares_change_6m_pct,dilution_check,requires_external_dilution_check,outstanding_shares,earnings_date,last_earnings_date,next_earnings_date,days_to_earnings,days_since_earnings,pead_flag,earnings_state,market_regime,hard_filter_pass,failed_gates,unverifiable_gates,missing_fields,quantitative_pass,manual_review_required,final_setup_ready,unverified_final_checks,validation_level,validation_level_label,externally_verified
TSEM,Tower Semiconductor Ltd,NASDAQ,Technology,Semiconductors,265.48,265.48,265.48,29950000000.0,2040000.0,244.43560000000002,199.56,176.45185,241.05192608735388,238.72855013694092,57.71703030355587,23.081718717324673,8.694334306661395,0.5445573699539014,11.58372562205785,20.854008285155025,True,319.94,17.02194161405263,319.94,20.513786349254172,True,50.0,"{'rvol20': {'value': 0.5445573699539014, 'points': -20.0, 'band': ""penalita' forte""}, 'distance_resistance_pct': {'value': 20.513786349254172, 'points': 10.0, 'band': 'ampio spazio'}, 'performance_21d_pct': {'value': 11.58372562205785, 'points': 10.0, 'band': 'momentum sano'}}",,"{'status': 'FAIL', 'score': 35.0, 'base_days': 38, 'base_depth_pct': 42.15, 'atr_contraction': 1.132, 'tight_closes': 3.314, 'volume_contraction': 0.8, 'pivot': 319.94, 'distance_to_pivot_pct': 20.51, 'above_ema21': True, 'above_ema50': True, 'reasons': ['durata base 38 sedute nel range', ""profondita' base 42.2% oltre 25.0%"", 'ATR in espansione (1.13)', 'chiusure volatili (3.31%/g)', 'volume in contrazione (0.80)', 'distanza dal pivot 20.5% fuori range', 'prezzo sopra EMA21 ed EMA50'], 'informational_only': True}",23.66,,93.04,72.13,26.87,16.16,306456564.002865,False,,"{'local_status': 'NOT_VERIFIABLE', 'external_verification_required': True, 'externally_verified': False, 'external_status': None, 'unverifiable_subchecks': ['shares_change_check', 'atm_check', 'convertibles_warrants_check'], 'shares_change_6m_pct': None, 'classification': None, 'measurement_confidence': 'NOT_VERIFIABLE', 'subchecks': {'shares_change_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'osservazione corrente vecchia di 226 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'buyback_check': {'status': 'PASS', 'value': False, 'reason': 'nessun riacquisto riportato'}, 'recent_equity_offering_check': {'status': 'PASS', 'value': False, 'reason': 'nessun prospetto di offerta prezzata negli ultimi ~6 mesi'}, 'shelf_check': {'status': 'PASS', 'value': False, 'reason': 'nessuna shelf registration negli ultimi ~6 mesi'}, 'atm_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'un programma ATM si desume solo dal testo dei prospetti: non determinabile da dati strutturati XBRL'}, 'convertibles_warrants_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'tag XBRL su convertibili e warrant assenti per la maggior parte degli emittenti: non determinabile in modo oggettivo'}}, 'recent_equity_offering': False, 'active_atm': None, 'shelf_registration': False, 'convertibles_or_warrants': None, 'buyback': False, 'buyback_detail': None, 'share_based_compensation': {'value': 5737000, 'unit': 'USD', 'date': '2012-12-31', 'form': '6-K', 'filed': '2013-02-22'}, 'shares_detail': {'shares_current': 112534404.0, 'shares_current_date': '2025-12-31', 'shares_current_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'shares_reference': 111550761.0, 'shares_reference_date': '2024-12-31', 'shares_reference_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'current_age_days': 226, 'observation_interval_days': 365, 'target_interval_days': 180, 'interval_deviation_days': 185, 'tolerance_days': 45, 'current_is_fresh': False, 'interval_is_accepted': False, 'shares_change_6m_pct': None, 'lower_confidence': True, 'cik': '0000928876', 'reason': 'osservazione corrente vecchia di 226 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'sources': [{'type': 'SEC', 'form': '6-K', 'filing_date': '2026-08-12', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326004045/0001178913-26-004045-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-08-11', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326004009/0001178913-26-004009-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-08-04', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003776/0001178913-26-003776-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-07-14', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003477/0001178913-26-003477-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-07-07', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003423/0001178913-26-003423-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-07-06', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003419/0001178913-26-003419-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-06-22', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003288/0001178913-26-003288-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-06-18', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003242/0001178913-26-003242-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-06-15', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326003180/0001178913-26-003180-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-05-21', 'url': 'https://www.sec.gov/Archives/edgar/data/928876/000117891326002871/0001178913-26-002871-index.htm'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2025-12-31', 'role': 'shares_current', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000928876&type=&dateb=&owner=include&count=40'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2024-12-31', 'role': 'shares_reference', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000928876&type=&dateb=&owner=include&count=40'}], 'reason': ""non verificabili localmente: shares_change_check, atm_check, convertibles_warrants_check. Richiede revisione esterna (SEC EDGAR + Investor Relations): NON e' una bocciatura"", 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,111760000.0,2026-08-04,2026-08-04,,,10,post_earnings,PEAD_WINDOW,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
ASML,ASML Holding NV,NASDAQ,Technology,Semiconductor Equipment & Materials,1844.08,1844.08,1844.08,710750000000.0,1910000.0,1775.7035999999998,1547.4053333333331,1428.395525,1749.966176300408,1723.9619312536695,59.47707800013015,72.98344005541144,3.9577155034169578,0.5594833263138022,3.31732843288306,13.20319214241865,False,1999.96,7.794155883117668,1999.96,8.452995531647222,True,35.0,"{'rvol20': {'value': 0.5594833263138022, 'points': -20.0, 'band': ""penalita' forte""}, 'distance_resistance_pct': {'value': 8.452995531647222, 'points': 5.0, 'band': 'spazio adeguato'}, 'performance_21d_pct': {'value': 3.31732843288306, 'points': 0.0, 'band': 'momentum debole'}}",,"{'status': 'PASS', 'score': 100.0, 'base_days': 32, 'base_depth_pct': 23.47, 'atr_contraction': 0.732, 'tight_closes': 1.673, 'volume_contraction': 0.667, 'pivot': 1999.96, 'distance_to_pivot_pct': 8.45, 'above_ema21': True, 'above_ema50': True, 'reasons': ['durata base 32 sedute nel range', ""profondita' base 23.5% entro 25.0%"", 'ATR in contrazione (0.73)', 'chiusure compresse (1.67%/g)', 'volume in contrazione (0.67)', 'distanza dal pivot 8.5% nel range', 'prezzo sopra EMA21 ed EMA50'], 'informational_only': True}",24.38,,31.869999999999997,37.88,52.73,35.42,11326693227.091633,False,,"{'local_status': 'NOT_VERIFIABLE', 'external_verification_required': True, 'externally_verified': False, 'external_status': None, 'unverifiable_subchecks': ['shares_change_check', 'atm_check', 'convertibles_warrants_check'], 'shares_change_6m_pct': None, 'classification': None, 'measurement_confidence': 'NOT_VERIFIABLE', 'subchecks': {'shares_change_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'osservazione corrente vecchia di 226 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'buyback_check': {'status': 'PASS', 'value': True, 'reason': 'riacquisti per 5,950,000,000 EUR (al 2025-12-31)'}, 'recent_equity_offering_check': {'status': 'PASS', 'value': False, 'reason': 'nessun prospetto di offerta prezzata negli ultimi ~6 mesi'}, 'shelf_check': {'status': 'PASS', 'value': False, 'reason': 'nessuna shelf registration negli ultimi ~6 mesi'}, 'atm_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'un programma ATM si desume solo dal testo dei prospetti: non determinabile da dati strutturati XBRL'}, 'convertibles_warrants_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'tag XBRL su convertibili e warrant assenti per la maggior parte degli emittenti: non determinabile in modo oggettivo'}}, 'recent_equity_offering': False, 'active_atm': None, 'shelf_registration': False, 'convertibles_or_warrants': None, 'buyback': True, 'buyback_detail': {'value': 5950000000, 'unit': 'EUR', 'date': '2025-12-31', 'form': '20-F', 'filed': '2026-02-25'}, 'share_based_compensation': {'value': 202300000, 'unit': 'EUR', 'date': '2025-12-31', 'form': '20-F', 'filed': '2026-02-25'}, 'shares_detail': {'shares_current': 385417665.0, 'shares_current_date': '2025-12-31', 'shares_current_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'shares_reference': 393283720.0, 'shares_reference_date': '2024-12-31', 'shares_reference_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'current_age_days': 226, 'observation_interval_days': 365, 'target_interval_days': 180, 'interval_deviation_days': 185, 'tolerance_days': 45, 'current_is_fresh': False, 'interval_is_accepted': False, 'shares_change_6m_pct': None, 'lower_confidence': True, 'cik': '0000937966', 'reason': 'osservazione corrente vecchia di 226 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'sources': [{'type': 'SEC', 'form': '6-K', 'filing_date': '2026-07-15', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026048235/0001628280-26-048235-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-04-23', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026026703/0001628280-26-026703-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-04-15', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026025147/0001628280-26-025147-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-03-11', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026016671/0001628280-26-016671-index.htm'}, {'type': 'SEC', 'form': '20-F', 'filing_date': '2026-02-25', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/0001628280-26-011378-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-02-25', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026011377/0001628280-26-011377-index.htm'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2025-12-31', 'role': 'shares_current', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000937966&type=&dateb=&owner=include&count=40'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2024-12-31', 'role': 'shares_reference', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000937966&type=&dateb=&owner=include&count=40'}], 'reason': ""non verificabili localmente: shares_change_check, atm_check, convertibles_warrants_check. Richiede revisione esterna (SEC EDGAR + Investor Relations): NON e' una bocciatura"", 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,385420000.0,2026-07-15,2026-07-15,,,30,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
KNSA,Kiniksa Pharmaceuticals International Plc,NASDAQ,Healthcare,Drug Manufacturers - Specialty & Generic,76.75,76.75,76.75,5990000000.0,754270.0,63.9804,52.848733333333335,49.864025,73.05950074855599,66.33255326997919,62.18642903851947,3.225723390059991,4.202896925159597,0.5678074498964141,25.59319260350188,3.241861716437988,True,82.94,7.463226428743668,82.94,8.065146579804559,True,29.0,"{'rvol20': {'value': 0.5678074498964141, 'points': -20.0, 'band': ""penalita' forte""}, 'distance_resistance_pct': {'value': 8.065146579804559, 'points': 5.0, 'band': 'spazio adeguato'}, 'performance_21d_pct': {'value': 25.59319260350188, 'points': -6.0, 'band': ""gia' esteso""}}",,"{'status': 'PASS', 'score': 100.0, 'base_days': 12, 'base_depth_pct': 13.9, 'atr_contraction': 0.673, 'tight_closes': 0.977, 'volume_contraction': 0.657, 'pivot': 82.94, 'distance_to_pivot_pct': 8.07, 'above_ema21': True, 'above_ema50': True, 'reasons': ['durata base 12 sedute nel range', ""profondita' base 13.9% entro 25.0%"", 'ATR in contrazione (0.67)', 'chiusure compresse (0.98%/g)', 'volume in contrazione (0.66)', 'distanza dal pivot 8.1% nel range', 'prezzo sopra EMA21 ed EMA50'], 'informational_only': True}",55.36,,33.300000000000004,47.3,54.449999999999996,11.92,182900763.35877863,False,,"{'local_status': 'NOT_VERIFIABLE', 'external_verification_required': True, 'externally_verified': False, 'external_status': None, 'unverifiable_subchecks': ['shares_change_check', 'atm_check', 'convertibles_warrants_check'], 'shares_change_6m_pct': None, 'classification': None, 'measurement_confidence': 'NOT_VERIFIABLE', 'subchecks': {'shares_change_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'storico proprietario: intervallo fra le osservazioni 4 gg, scarto 176 oltre la tolleranza 45', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'buyback_check': {'status': 'PASS', 'value': False, 'reason': 'nessun riacquisto riportato'}, 'recent_equity_offering_check': {'status': 'PASS', 'value': False, 'reason': 'nessun prospetto di offerta prezzata negli ultimi ~6 mesi'}, 'shelf_check': {'status': 'PASS', 'value': False, 'reason': 'nessuna shelf registration negli ultimi ~6 mesi'}, 'atm_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'un programma ATM si desume solo dal testo dei prospetti: non determinabile da dati strutturati XBRL'}, 'convertibles_warrants_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'tag XBRL su convertibili e warrant assenti per la maggior parte degli emittenti: non determinabile in modo oggettivo'}}, 'recent_equity_offering': False, 'active_atm': None, 'shelf_registration': False, 'convertibles_or_warrants': None, 'buyback': False, 'buyback_detail': None, 'share_based_compensation': None, 'shares_detail': {'shares_current': None, 'shares_current_date': None, 'shares_current_source': None, 'shares_reference': None, 'shares_reference_date': None, 'shares_reference_source': None, 'current_age_days': None, 'observation_interval_days': None, 'target_interval_days': 180, 'interval_deviation_days': None, 'tolerance_days': 45, 'current_is_fresh': None, 'interval_is_accepted': None, 'shares_change_6m_pct': None, 'lower_confidence': None, 'cik': '0001730430', 'reason': 'storico proprietario: intervallo fra le osservazioni 4 gg, scarto 176 oltre la tolleranza 45', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'sources': [{'type': 'SEC', 'form': '10-Q', 'filing_date': '2026-07-28', 'url': 'https://www.sec.gov/Archives/edgar/data/1730430/000110465926087545/0001104659-26-087545-index.htm'}, {'type': 'SEC', 'form': '10-Q', 'filing_date': '2026-04-28', 'url': 'https://www.sec.gov/Archives/edgar/data/1730430/000110465926050359/0001104659-26-050359-index.htm'}, {'type': 'SEC', 'form': '10-K', 'filing_date': '2026-02-24', 'url': 'https://www.sec.gov/Archives/edgar/data/1730430/000110465926019168/0001104659-26-019168-index.htm'}], 'reason': ""non verificabili localmente: shares_change_check, atm_check, convertibles_warrants_check. Richiede revisione esterna (SEC EDGAR + Investor Relations): NON e' una bocciatura"", 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,48240000.0,2026-07-28,2026-07-28,,,17,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
