ticker,name,exchange,sector,industry,price,price_tv,price_finviz,market_cap,avg_volume,sma50,sma150,sma200,ema21,ema50,rsi14,atr14,atr_pct,rvol20,performance_21d_pct,move_10d_pct,consolidating,week52_high,distance_52w_high_pct,resistance,distance_resistance_pct,structural_trend_pass,technical_score,score_breakdown,pattern,pattern_quality,revenue_growth_yoy,previous_revenue_growth_yoy,eps_growth_yoy,eps_next_year,gross_margin,operating_margin,free_cash_flow,free_cash_flow_negative,shares_change_6m_pct,dilution_check,requires_external_dilution_check,outstanding_shares,earnings_date,last_earnings_date,next_earnings_date,days_to_earnings,days_since_earnings,pead_flag,earnings_state,market_regime,hard_filter_pass,failed_gates,unverifiable_gates,missing_fields,quantitative_pass,manual_review_required,final_setup_ready,unverified_final_checks,validation_level,validation_level_label,externally_verified
STX,Seagate Technology Holdings Plc,NASDAQ,Technology,Computer Hardware,921.37,921.37,921.37,208820000000.0,4640000.0,888.4022,637.0034999999999,546.3912,849.745379660852,840.3788842999303,57.6531417785683,74.56669900637178,8.093024409995092,0.805306387093453,11.236267053000137,8.182650760849143,False,1145,19.531004366812226,1145,24.27146531795044,True,70.0,"{'rvol20': {'value': 0.805306387093453, 'points': 0.0, 'band': 'neutro'}, 'distance_resistance_pct': {'value': 24.27146531795044, 'points': 10.0, 'band': 'ampio spazio'}, 'performance_21d_pct': {'value': 11.236267053000137, 'points': 10.0, 'band': 'momentum sano'}}",,"{'status': 'FAIL', 'score': 55.0, 'base_days': 38, 'base_depth_pct': 38.95, 'atr_contraction': 0.82, 'tight_closes': 3.958, 'volume_contraction': 0.832, 'pivot': 1145, 'distance_to_pivot_pct': 24.27, 'above_ema21': True, 'above_ema50': True, 'reasons': ['durata base 38 sedute nel range', ""profondita' base 39.0% oltre 25.0%"", 'ATR in contrazione (0.82)', 'chiusure volatili (3.96%/g)', 'volume in contrazione (0.83)', 'distanza dal pivot 24.3% fuori range', 'prezzo sopra EMA21 ed EMA50'], 'informational_only': True}",48.49,,149.17000000000002,57.77,45.58,34.65,3105130111.5241637,False,3.9305408585829538,"{'local_status': 'NOT_VERIFIABLE', 'external_verification_required': True, 'externally_verified': False, 'external_status': None, 'unverifiable_subchecks': ['atm_check', 'convertibles_warrants_check'], 'shares_change_6m_pct': 3.9305408585829538, 'classification': 'POTENTIAL_DILUTION', 'measurement_confidence': 'HIGH', 'subchecks': {'shares_change_check': {'status': 'PASS', 'value': 3.9305408585829538, 'reason': 'azioni +3.931% in ~6 mesi (POTENTIAL_DILUTION); confronto 2026-01-27 -> 2026-07-31: intervallo 185 giorni (scarto 5 dal target 180); corrente vecchia di 13 giorni', 'measurement_confidence': 'HIGH'}, 'buyback_check': {'status': 'PASS', 'value': True, 'reason': 'riacquisti per 176,000,000 USD (al 2026-07-03)'}, 'recent_equity_offering_check': {'status': 'PASS', 'value': False, 'reason': 'nessun prospetto di offerta prezzata negli ultimi ~6 mesi'}, 'shelf_check': {'status': 'PASS', 'value': False, 'reason': 'nessuna shelf registration negli ultimi ~6 mesi'}, 'atm_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'un programma ATM si desume solo dal testo dei prospetti: non determinabile da dati strutturati XBRL'}, 'convertibles_warrants_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'tag XBRL su convertibili e warrant assenti per la maggior parte degli emittenti: non determinabile in modo oggettivo'}}, 'recent_equity_offering': False, 'active_atm': None, 'shelf_registration': False, 'convertibles_or_warrants': None, 'buyback': True, 'buyback_detail': {'value': 176000000, 'unit': 'USD', 'date': '2026-07-03', 'form': '10-K', 'filed': '2026-08-04'}, 'share_based_compensation': {'value': 213000000, 'unit': 'USD', 'date': '2026-07-03', 'form': '10-K', 'filed': '2026-08-04'}, 'shares_detail': {'shares_current': 226644518.0, 'shares_current_date': '2026-07-31', 'shares_current_source': 'SEC 10-K (dei:EntityCommonStockSharesOutstanding)', 'shares_reference': 218073067.0, 'shares_reference_date': '2026-01-27', 'shares_reference_source': 'SEC 10-Q (dei:EntityCommonStockSharesOutstanding)', 'current_age_days': 13, 'observation_interval_days': 185, 'target_interval_days': 180, 'interval_deviation_days': 5, 'tolerance_days': 45, 'current_is_fresh': True, 'interval_is_accepted': True, 'shares_change_6m_pct': 3.9305408585829538, 'lower_confidence': False, 'cik': '0001137789', 'reason': 'confronto 2026-01-27 -> 2026-07-31: intervallo 185 giorni (scarto 5 dal target 180); corrente vecchia di 13 giorni', 'measurement_confidence': 'HIGH'}, 'sources': [{'type': 'SEC', 'form': '10-K', 'filing_date': '2026-08-04', 'url': 'https://www.sec.gov/Archives/edgar/data/1137789/000113778926000159/0001137789-26-000159-index.htm'}, {'type': 'SEC', 'form': '10-Q', 'filing_date': '2026-04-29', 'url': 'https://www.sec.gov/Archives/edgar/data/1137789/000113778926000088/0001137789-26-000088-index.htm'}, {'type': 'SEC-XBRL', 'form': '10-K', 'filing_date': '2026-07-31', 'role': 'shares_current', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001137789&type=&dateb=&owner=include&count=40'}, {'type': 'SEC-XBRL', 'form': '10-Q', 'filing_date': '2026-01-27', 'role': 'shares_reference', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001137789&type=&dateb=&owner=include&count=40'}], 'reason': ""non verificabili localmente: atm_check, convertibles_warrants_check. Richiede revisione esterna (SEC EDGAR + Investor Relations): NON e' una bocciatura"", 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,226790000.0,2026-07-28,2026-07-28,,,16,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
AVGO,Broadcom Inc,NASDAQ,Technology,Semiconductors,417.82,417.82,417.82,1987810000000.0,25620000.0,392.1896,371.51203333333336,369.044225,403.60473687872485,396.81885866219176,59.054726415347915,15.647541085454753,3.745043579880033,0.7184963830461949,5.970376382266407,7.729991749174925,True,495,15.591919191919192,495,18.472069312143987,True,60.0,"{'rvol20': {'value': 0.7184963830461949, 'points': -10.0, 'band': ""penalita'""}, 'distance_resistance_pct': {'value': 18.472069312143987, 'points': 10.0, 'band': 'ampio spazio'}, 'performance_21d_pct': {'value': 5.970376382266407, 'points': 10.0, 'band': 'momentum sano'}}",,"{'status': 'FAIL', 'score': 50.0, 'base_days': 49, 'base_depth_pct': 27.99, 'atr_contraction': 1.024, 'tight_closes': 0.795, 'volume_contraction': 0.535, 'pivot': 495, 'distance_to_pivot_pct': 18.47, 'above_ema21': True, 'above_ema50': True, 'reasons': ['durata base 49 sedute nel range', ""profondita' base 28.0% oltre 25.0%"", 'ATR in espansione (1.02)', 'chiusure compresse (0.80%/g)', 'volume in contrazione (0.53)', 'distanza dal pivot 18.5% fuori range', 'prezzo sopra EMA21 ed EMA50'], 'informational_only': True}",47.870000000000005,,85.59,68.97,65.66,44.14,32764298664.90852,False,0.34392443236328507,"{'local_status': 'NOT_VERIFIABLE', 'external_verification_required': True, 'externally_verified': False, 'external_status': None, 'unverifiable_subchecks': ['atm_check', 'convertibles_warrants_check'], 'shares_change_6m_pct': 0.34392443236328507, 'classification': 'NORMAL_SBC', 'measurement_confidence': 'HIGH', 'subchecks': {'shares_change_check': {'status': 'PASS', 'value': 0.34392443236328507, 'reason': 'azioni +0.344% in ~6 mesi (NORMAL_SBC); confronto 2025-11-28 -> 2026-05-29: intervallo 182 giorni (scarto 2 dal target 180); corrente vecchia di 76 giorni', 'measurement_confidence': 'HIGH'}, 'buyback_check': {'status': 'PASS', 'value': True, 'reason': 'riacquisti per 8,450,000,000 USD (al 2026-05-03)'}, 'recent_equity_offering_check': {'status': 'PASS', 'value': False, 'reason': 'nessun prospetto di offerta prezzata negli ultimi ~6 mesi'}, 'shelf_check': {'status': 'PASS', 'value': False, 'reason': 'nessuna shelf registration negli ultimi ~6 mesi'}, 'atm_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'un programma ATM si desume solo dal testo dei prospetti: non determinabile da dati strutturati XBRL'}, 'convertibles_warrants_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'tag XBRL su convertibili e warrant assenti per la maggior parte degli emittenti: non determinabile in modo oggettivo'}}, 'recent_equity_offering': False, 'active_atm': None, 'shelf_registration': False, 'convertibles_or_warrants': None, 'buyback': True, 'buyback_detail': {'value': 8450000000, 'unit': 'USD', 'date': '2026-05-03', 'form': '10-Q', 'filed': '2026-06-09'}, 'share_based_compensation': {'value': 4268000000, 'unit': 'USD', 'date': '2026-05-03', 'form': '10-Q', 'filed': '2026-06-09'}, 'shares_detail': {'shares_current': 4757580198.0, 'shares_current_date': '2026-05-29', 'shares_current_source': 'SEC 10-Q (dei:EntityCommonStockSharesOutstanding)', 'shares_reference': 4741273799.0, 'shares_reference_date': '2025-11-28', 'shares_reference_source': 'SEC 10-K (dei:EntityCommonStockSharesOutstanding)', 'current_age_days': 76, 'observation_interval_days': 182, 'target_interval_days': 180, 'interval_deviation_days': 2, 'tolerance_days': 45, 'current_is_fresh': True, 'interval_is_accepted': True, 'shares_change_6m_pct': 0.34392443236328507, 'lower_confidence': False, 'cik': '0001730168', 'reason': 'confronto 2025-11-28 -> 2026-05-29: intervallo 182 giorni (scarto 2 dal target 180); corrente vecchia di 76 giorni', 'measurement_confidence': 'HIGH'}, 'sources': [{'type': 'SEC', 'form': '10-Q', 'filing_date': '2026-06-09', 'url': 'https://www.sec.gov/Archives/edgar/data/1730168/000173016826000054/0001730168-26-000054-index.htm'}, {'type': 'SEC', 'form': '10-Q', 'filing_date': '2026-03-11', 'url': 'https://www.sec.gov/Archives/edgar/data/1730168/000173016826000016/0001730168-26-000016-index.htm'}, {'type': 'SEC-XBRL', 'form': '10-Q', 'filing_date': '2026-05-29', 'role': 'shares_current', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001730168&type=&dateb=&owner=include&count=40'}, {'type': 'SEC-XBRL', 'form': '10-K', 'filing_date': '2025-11-28', 'role': 'shares_reference', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001730168&type=&dateb=&owner=include&count=40'}], 'reason': ""non verificabili localmente: atm_check, convertibles_warrants_check. Richiede revisione esterna (SEC EDGAR + Investor Relations): NON e' una bocciatura"", 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,4760000000.0,2026-09-02,,2026-09-02,20,,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
ASML,ASML Holding NV,NASDAQ,Technology,Semiconductor Equipment & Materials,1847.9,1847.9,1847.9,712220000000.0,1920000.0,1773.3492,1543.0736,1424.475025,1740.5547939304442,1719.0591264122647,59.89131742244781,76.0663969824299,4.116369770140695,0.7160789571438974,1.7975287422807629,11.896284454778861,False,1999.96,7.603152063041257,1999.96,8.228800259754312,True,45.0,"{'rvol20': {'value': 0.7160789571438974, 'points': -10.0, 'band': ""penalita'""}, 'distance_resistance_pct': {'value': 8.228800259754312, 'points': 5.0, 'band': 'spazio adeguato'}, 'performance_21d_pct': {'value': 1.7975287422807629, 'points': 0.0, 'band': 'momentum debole'}}",,"{'status': 'PASS', 'score': 100.0, 'base_days': 31, 'base_depth_pct': 23.47, 'atr_contraction': 0.755, 'tight_closes': 1.729, 'volume_contraction': 0.671, 'pivot': 1999.96, 'distance_to_pivot_pct': 8.23, 'above_ema21': True, 'above_ema50': True, 'reasons': ['durata base 31 sedute nel range', ""profondita' base 23.5% entro 25.0%"", 'ATR in contrazione (0.76)', 'chiusure compresse (1.73%/g)', 'volume in contrazione (0.67)', 'distanza dal pivot 8.2% nel range', 'prezzo sopra EMA21 ed EMA50'], 'informational_only': True}",24.38,,31.869999999999997,37.88,52.73,35.42,11326653944.020355,False,,"{'local_status': 'NOT_VERIFIABLE', 'external_verification_required': True, 'externally_verified': False, 'external_status': None, 'unverifiable_subchecks': ['shares_change_check', 'atm_check', 'convertibles_warrants_check'], 'shares_change_6m_pct': None, 'classification': None, 'measurement_confidence': 'NOT_VERIFIABLE', 'subchecks': {'shares_change_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'osservazione corrente vecchia di 225 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'buyback_check': {'status': 'PASS', 'value': True, 'reason': 'riacquisti per 5,950,000,000 EUR (al 2025-12-31)'}, 'recent_equity_offering_check': {'status': 'PASS', 'value': False, 'reason': 'nessun prospetto di offerta prezzata negli ultimi ~6 mesi'}, 'shelf_check': {'status': 'PASS', 'value': False, 'reason': 'nessuna shelf registration negli ultimi ~6 mesi'}, 'atm_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'un programma ATM si desume solo dal testo dei prospetti: non determinabile da dati strutturati XBRL'}, 'convertibles_warrants_check': {'status': 'NOT_VERIFIABLE', 'value': None, 'reason': 'tag XBRL su convertibili e warrant assenti per la maggior parte degli emittenti: non determinabile in modo oggettivo'}}, 'recent_equity_offering': False, 'active_atm': None, 'shelf_registration': False, 'convertibles_or_warrants': None, 'buyback': True, 'buyback_detail': {'value': 5950000000, 'unit': 'EUR', 'date': '2025-12-31', 'form': '20-F', 'filed': '2026-02-25'}, 'share_based_compensation': {'value': 202300000, 'unit': 'EUR', 'date': '2025-12-31', 'form': '20-F', 'filed': '2026-02-25'}, 'shares_detail': {'shares_current': 385417665.0, 'shares_current_date': '2025-12-31', 'shares_current_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'shares_reference': 393283720.0, 'shares_reference_date': '2024-12-31', 'shares_reference_source': 'SEC 20-F (dei:EntityCommonStockSharesOutstanding)', 'current_age_days': 225, 'observation_interval_days': 365, 'target_interval_days': 180, 'interval_deviation_days': 185, 'tolerance_days': 45, 'current_is_fresh': False, 'interval_is_accepted': False, 'shares_change_6m_pct': None, 'lower_confidence': True, 'cik': '0000937966', 'reason': 'osservazione corrente vecchia di 225 giorni (limite 150): non abbastanza attuale per un confronto a 6 mesi', 'measurement_confidence': 'NOT_VERIFIABLE'}, 'sources': [{'type': 'SEC', 'form': '6-K', 'filing_date': '2026-07-15', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026048235/0001628280-26-048235-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-04-23', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026026703/0001628280-26-026703-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-04-15', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026025147/0001628280-26-025147-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-03-11', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026016671/0001628280-26-016671-index.htm'}, {'type': 'SEC', 'form': '20-F', 'filing_date': '2026-02-25', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/0001628280-26-011378-index.htm'}, {'type': 'SEC', 'form': '6-K', 'filing_date': '2026-02-25', 'url': 'https://www.sec.gov/Archives/edgar/data/937966/000162828026011377/0001628280-26-011377-index.htm'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2025-12-31', 'role': 'shares_current', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000937966&type=&dateb=&owner=include&count=40'}, {'type': 'SEC-XBRL', 'form': '20-F', 'filing_date': '2024-12-31', 'role': 'shares_reference', 'url': 'https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000937966&type=&dateb=&owner=include&count=40'}], 'reason': ""non verificabili localmente: shares_change_check, atm_check, convertibles_warrants_check. Richiede revisione esterna (SEC EDGAR + Investor Relations): NON e' una bocciatura"", 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,385420000.0,2026-07-15,2026-07-15,,,29,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
