ticker,name,exchange,sector,industry,price,price_tv,price_finviz,market_cap,avg_volume,sma50,sma150,sma200,ema21,ema50,rsi14,atr14,atr_pct,rvol20,performance_21d_pct,move_10d_pct,consolidating,week52_high,distance_52w_high_pct,resistance,distance_resistance_pct,structural_trend_pass,technical_score,score_breakdown,pattern,revenue_growth_yoy,previous_revenue_growth_yoy,eps_growth_yoy,eps_next_year,gross_margin,operating_margin,free_cash_flow,free_cash_flow_negative,shares_change_6m_pct,dilution_check,requires_external_dilution_check,outstanding_shares,earnings_date,last_earnings_date,next_earnings_date,days_to_earnings,days_since_earnings,pead_flag,earnings_state,market_regime,hard_filter_pass,failed_gates,unverifiable_gates,missing_fields,quantitative_pass,manual_review_required,final_setup_ready,unverified_final_checks,validation_level,validation_level_label,externally_verified
AVGO,Broadcom Inc,NASDAQ,Technology,Semiconductors,416.08,416.08,416.08,1979530000000.0,25730000.0,394.343,370.5347,368.366975,400.79653162326025,395.1417586508648,58.325986054050865,16.113657116937624,3.8727305126268083,0.68838577083087,8.340059888035412,9.233152188180927,True,495,15.943434343434346,495,18.967506248798312,True,60.0,"{'rvol20': {'value': 0.68838577083087, 'points': -10.0, 'band': ""penalita'""}, 'distance_resistance_pct': {'value': 18.967506248798312, 'points': 10.0, 'band': 'ampio spazio'}, 'performance_21d_pct': {'value': 8.340059888035412, 'points': 10.0, 'band': 'momentum sano'}}",,47.870000000000005,,85.59,68.97,65.66,44.14,32762826878.517048,False,,"{'status': 'NOT_VERIFIABLE', 'shares_change_6m_pct': None, 'reason': ""variazione azioni a 6 mesi non disponibile: FinViz espone solo valori puntuali (Outstanding/Float) e lo storico proprietario e' in accumulo dal 2026-08-11. Nessuna fonte esterna collegata."", 'sources_checked': ['FinViz screener (Outstanding, Float: valori puntuali)', 'storico proprietario shares_outstanding.jsonl (richiede 180 giorni)'], 'blocks_quantitative_shortlist': False, 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,4760000000.0,2026-09-02,,2026-09-02,22,,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
STLD,Steel Dynamics Inc,NASDAQ,Basic Materials,Steel,263.69,263.69,263.69,37790000000.0,1220000.0,250.75279999999998,215.55453333333332,202.612575,253.53450458241832,245.97079946528854,60.853948013808356,8.597259470747217,3.260366138551791,0.778335424631645,12.620654309387547,1.5207515207515065,False,288.74,8.675625129874632,288.74,9.499791421745234,True,55.0,"{'rvol20': {'value': 0.778335424631645, 'points': -10.0, 'band': ""penalita'""}, 'distance_resistance_pct': {'value': 9.499791421745234, 'points': 5.0, 'band': 'spazio adeguato'}, 'performance_21d_pct': {'value': 12.620654309387547, 'points': 10.0, 'band': 'momentum sano'}}",,33.44,,84.19,16.04,14.510000000000002,10.01,955499367.8887485,False,,"{'status': 'NOT_VERIFIABLE', 'shares_change_6m_pct': None, 'reason': ""variazione azioni a 6 mesi non disponibile: FinViz espone solo valori puntuali (Outstanding/Float) e lo storico proprietario e' in accumulo dal 2026-08-11. Nessuna fonte esterna collegata."", 'sources_checked': ['FinViz screener (Outstanding, Float: valori puntuali)', 'storico proprietario shares_outstanding.jsonl (richiede 180 giorni)'], 'blocks_quantitative_shortlist': False, 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,143610000.0,2026-07-20,2026-07-20,,,22,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
ASML,ASML Holding NV,NASDAQ,Technology,Semiconductor Equipment & Materials,1799.38,1799.38,1799.38,693520000000.0,1940000.0,1766.8685999999998,1535.1582,1416.532725,1721.7953006558344,1709.8709195670572,56.36324010739293,79.43990419211016,4.414848680773941,0.7692100696875395,4.249032467381997,13.67257335986607,False,1999.96,10.029200584011676,1999.96,11.1471729151152,True,45.0,"{'rvol20': {'value': 0.7692100696875395, 'points': -10.0, 'band': ""penalita'""}, 'distance_resistance_pct': {'value': 11.1471729151152, 'points': 5.0, 'band': 'spazio adeguato'}, 'performance_21d_pct': {'value': 4.249032467381997, 'points': 0.0, 'band': 'momentum debole'}}",,24.38,,31.869999999999997,37.88,52.73,35.42,11326473950.677773,False,,"{'status': 'NOT_VERIFIABLE', 'shares_change_6m_pct': None, 'reason': ""variazione azioni a 6 mesi non disponibile: FinViz espone solo valori puntuali (Outstanding/Float) e lo storico proprietario e' in accumulo dal 2026-08-11. Nessuna fonte esterna collegata."", 'sources_checked': ['FinViz screener (Outstanding, Float: valori puntuali)', 'storico proprietario shares_outstanding.jsonl (richiede 180 giorni)'], 'blocks_quantitative_shortlist': False, 'blocks_final_setup': True, 'requires_external_check': True, 'external_sources_required': ['SEC EDGAR', 'Investor Relations']}",True,385420000.0,2026-07-15,2026-07-15,,,27,normal,NORMAL,BULL,True,,,pattern;previous_revenue_growth_yoy;shares_change_6m_pct,True,True,False,sec_dilution;investor_relations_results;guidance;real_catalyst;pattern_quality,1,quantitative_shortlist_candidate,False
